id_processo,numero_processo,polo_ativo,polo_passivo,tipo_processo,area_juridica,valor_causa,custo_total,honorarios_advogado,provisao_risco,fase_atual,status_processo,data_abertura,data_ultima_movimentacao,data_encerramento,tempo_tramitacao_dias,decisao_final,responsavel,escritorio_responsavel,tribunal_responsavel,comarca,instancia,uf_processo,descricao_processo,movimentacoes
1,26704-05.2009.6.06.6862,Cirino,Jesus,Cautelar,Direito Previdenciário,749728.13,104667.25,61852.84,0.0,Encerrado,Encerrado,2021-06-30,2023-07-08,2024-01-20,934.0,Procedente,Dra. Aurora Pastor,Nunes Silva Ltda. Advogados,TRT2,Goiânia,STF,RN,Laudantium neque placeat corrupti repellat veniam.,"['2021-09-05: Pariatur natus dolor praesentium quisquam cumque non quibusdam beatae.', '2021-10-21: Vitae autem ad est perspiciatis vero.', '2021-12-09: Velit dicta nihil rerum doloribus possimus error placeat.', '2022-01-13: Recusandae natus aliquam minus optio architecto.', '2022-02-10: Accusamus in laudantium inventore facere tempora itaque corrupti.', '2022-04-14: Quasi vitae earum repellat modi laboriosam.', '2022-05-03: Repudiandae nihil eum doloribus vel eius iste quibusdam necessitatibus.', '2022-07-17: Excepturi laudantium eveniet laborum explicabo ea eius nisi.', '2022-08-29: Nam maxime deleniti dolores illo nam dolores.', '2022-10-08: Officia laudantium recusandae at dolore porro esse neque labore.', '2022-12-20: Exercitationem voluptatum mollitia explicabo iste esse dolorem quam et quia.', '2023-02-17: Deleniti qui eius nihil quis nisi.', '2023-04-12: Rerum eos facere esse provident.', '2023-05-26: Earum voluptate mollitia possimus commodi sit.', '2023-07-08: Aut accusamus eligendi laboriosam exercitationem vitae dolorum similique beatae.']"
2,13101-84.2002.7.43.5564,Fernanda Cassiano,Ana Cecília Sá,Ação Popular,Direito Ambiental,939297.9,24560.62,0.0,817214.96,Suspenso,Suspenso,2021-02-22,2022-10-16,,,,Bruno da Conceição,Carvalho Advogados,TJDF,Ribeirão Preto,TST,MG,Repudiandae a sit iure amet maxime numquam. Numquam quis dignissimos molestias unde ipsa praesentium.,"['2021-05-03: Blanditiis quisquam non ratione dolorem minima ipsum.', '2021-07-01: Error nihil inventore necessitatibus animi vero aut quis numquam.', '2021-08-25: Optio culpa cupiditate asperiores a ipsum nisi.', '2021-11-03: Adipisci enim eligendi similique architecto doloremque eaque.', '2022-01-22: Nihil rem dicta beatae dolore corrupti eaque consequuntur animi recusandae nisi.', '2022-02-20: Ullam ipsa iusto esse illo earum molestiae ipsa nisi suscipit.', '2022-04-25: Nobis ad dolorem perferendis similique nesciunt accusantium quisquam.', '2022-07-22: Nemo quis cupiditate maxime ipsam eius voluptatum.', '2022-08-30: Odio laudantium at expedita ex pariatur similique ex possimus.', '2022-10-16: Optio id quis alias at dolorum blanditiis.']"
3,15817-90.2017.1.67.9821,Dr. Oliver Araújo,Silveira,Recuperação Judicial,Direito Previdenciário,314601.73,40496.21,34626.47,134245.07,Arquivado,Arquivado,2021-06-15,2023-02-24,2025-05-25,1440.0,Recurso Improvido,Amanda Novais,Nunes Silva Ltda. Advogados,STJ,Rio de Janeiro,STJ,RN,Ipsam possimus temporibus aliquid.,"['2021-08-22: Voluptate non dolores culpa mollitia.', '2021-10-24: Illum dolore sapiente beatae veniam officia culpa ut eos provident.', '2021-11-30: Rerum voluptatem doloribus mollitia fugit ullam magni sunt sint.', '2022-02-25: Quo sequi excepturi ratione eaque a quas.', '2022-04-19: Neque optio sint ipsum laborum ex quis fugiat ut sit.', '2022-06-24: Nemo doloremque quod aliquam quia provident repellat.', '2022-09-17: Voluptates recusandae officiis corrupti vitae commodi vitae ex.', '2022-10-02: Soluta ipsam minima itaque quam.', '2022-11-24: Sit voluptas asperiores quos eaque numquam id aspernatur.', '2023-01-14: Sequi similique fugit et quaerat quis sit alias.', '2023-02-24: Doloremque placeat enim dolorem at.']"
4,66346-74.2010.8.57.8244,da Conceição Gomes e Filhos,Martins,Divórcio,Direito do Consumidor,633307.91,36051.91,0.0,0.0,Suspenso,Suspenso,2020-11-24,2025-06-03,,,,Dr. Gustavo Henrique Rios,Rodrigues Duarte S/A Advogados,TRF2,Curitiba,TST,RR,Quia rerum temporibus quod dolorem reiciendis dolor deleniti.,"['2020-12-27: Facere inventore doloribus illum placeat debitis cupiditate.', '2021-01-14: Sit nulla dolores totam corporis itaque ducimus ducimus ab rem temporibus.', '2021-02-03: Culpa ipsam exercitationem nesciunt odit incidunt dolorum sapiente dicta harum.', '2021-03-21: Autem fugit facere eos praesentium accusantium rerum id ab.']"
5,72277-78.1994.8.54.4185,Fernandes,Fogaça Ltda.,Mandado de Segurança,Direito do Consumidor,860580.12,115287.73,80695.07,0.0,Arquivado,Arquivado,2022-07-21,2024-01-24,2023-01-29,192.0,Recurso Improvido,Sr. Caleb Garcia,Andrade Dias - ME Advogados,TRF4,Ribeirão Preto,1ª Instância,SE,Illum veritatis adipisci fuga ipsam veritatis sequi aut. Molestias voluptate facere id deleniti commodi.,"['2022-10-02: Occaecati temporibus officia est ipsam neque.', '2022-11-03: At eos quibusdam cupiditate consequatur molestiae.', '2023-01-16: Minus totam rerum ducimus repudiandae laboriosam rem quia.', '2023-04-08: Rem iusto asperiores quidem dolorem perspiciatis perferendis id.', '2023-07-03: Facilis ratione accusamus modi iste perferendis perferendis nesciunt reprehenderit velit.', '2023-08-27: Perferendis iusto nulla velit eveniet.', '2023-11-06: Dolore aperiam reprehenderit tenetur error illum consequuntur veniam esse laudantium atque.', '2024-01-24: Consequatur iste perferendis quia veniam in quia culpa impedit aut.']"
6,65933-70.2018.3.96.8777,Câmara,Ana Liz Souza,Falência,Direito Empresarial,440432.72,48401.92,51605.28,0.0,Réplica,Ativo,2024-04-15,2024-09-25,,,,Bruno da Conceição,Azevedo Advogados,TRT1,Recife,2ª Instância,GO,Eaque consectetur in beatae.,"['2024-06-18: Optio odit nisi accusantium ratione.', '2024-07-22: Voluptates ratione dignissimos rerum mollitia nesciunt repellat.', '2024-09-02: Eveniet corporis tempore a similique corporis consectetur.', '2024-09-25: Reiciendis beatae sint consectetur facere ratione nihil.']"
7,64377-52.2011.9.60.7812,Montenegro Caldeira e Filhos,Carvalho,Mandado de Segurança,Direito de Família,477502.75,67797.67,61119.08,0.0,Arquivado,Arquivado,2020-12-17,2024-05-06,2024-03-23,1192.0,Recurso Improvido,Brayan Pereira,Souza Novais - EI Advogados,TJSP,Goiânia,TST,MT,Quod necessitatibus assumenda amet culpa nulla.,"['2021-03-04: Ipsum facere nisi iste dolore nostrum quas tenetur omnis.', '2021-04-16: Itaque vitae aperiam laboriosam illo placeat laudantium.', '2021-06-04: Asperiores aspernatur non aperiam eius odio molestias eveniet voluptatum.', '2021-08-13: Eos magni inventore recusandae beatae omnis soluta mollitia sint inventore.', '2021-10-29: Impedit repudiandae id quas est est ducimus.', '2021-11-16: Porro labore at assumenda inventore quia.', '2022-01-19: Repellat nam nesciunt natus eveniet commodi explicabo pariatur.', '2022-03-18: Sint quam voluptas nobis expedita neque distinctio omnis dolore.', '2022-05-23: Expedita nam beatae eius dolorem.', '2022-06-28: Sapiente voluptate repellendus nostrum odit ad ut repudiandae eaque.', '2022-09-10: Earum quis ullam expedita delectus corporis.', '2022-10-11: Architecto qui voluptas at minus fugiat iste culpa.']"
8,91560-68.1991.7.76.1444,Mendonça,Machado,Mandado de Segurança,Direito Tributário,212448.62,11845.8,26731.4,0.0,Arquivado,Arquivado,2021-02-11,2023-10-03,2022-10-10,606.0,Improcedente,Julia Aparecida,Rodrigues Duarte S/A Advogados,TRF1,Curitiba,STF,MG,Enim illo vitae cupiditate veniam itaque. At sapiente doloribus nihil minima id.,"['2021-05-06: Ipsam incidunt non impedit dolor maiores exercitationem.', '2021-05-27: Eligendi perspiciatis laborum pariatur aliquid.', '2021-07-25: Voluptates amet dignissimos veniam quisquam quisquam enim blanditiis.', '2021-09-06: Quia cupiditate fugit provident magnam rerum rem asperiores similique.', '2021-09-29: Ipsa itaque aspernatur est inventore.']"
9,95426-05.1991.4.26.1333,Vitória Novais,Farias S/A,Cautelar,Direito Tributário,256987.45,15842.07,62382.92,0.0,Encerrado,Encerrado,2023-01-22,2024-09-06,2025-01-18,727.0,Improcedente,Sra. Zoe Campos,Martins Garcia Ltda. Advogados,TRT3,Porto Alegre,STF,RS,Magni iure mollitia recusandae tempore ipsum repellat officiis. Non magnam vero ipsum repellat saepe.,"['2023-03-17: Dolore quod asperiores odio minus deserunt quod expedita.', '2023-06-13: Dolores corporis deserunt nobis quis omnis.', '2023-08-15: Veritatis occaecati iure natus neque perspiciatis.', '2023-10-19: Officia voluptates eum voluptas et ipsam iusto occaecati recusandae nihil.', '2023-11-28: Magni est iste animi rerum asperiores sint sequi.']"
10,19961-75.2005.2.90.5941,Dr. Oliver Araújo,Diogo Rezende,Falência,Direito do Trabalho,371200.31,30005.8,81632.56,0.0,Sentença,Ativo,2021-02-20,2023-03-04,,,,Bernardo Aparecida,Nascimento Siqueira S.A. Advogados,TJBA,Fortaleza,STF,RR,Quae maiores commodi assumenda. Earum temporibus corporis ipsa.,"['2021-05-04: Officia aliquam provident voluptatibus minima non facilis ullam harum.', '2021-06-07: Perspiciatis amet occaecati ex ex nam harum dolorum.', '2021-08-16: Sit ex nesciunt consequuntur expedita voluptas praesentium hic nisi vel.', '2021-09-22: Nam officia eveniet consectetur praesentium veniam voluptatum.', '2021-12-12: Atque perferendis magni accusantium est veritatis exercitationem quisquam deleniti voluptatum.', '2022-01-30: Aspernatur sapiente aut quo rerum sunt.', '2022-04-23: Optio soluta nulla nisi culpa.', '2022-07-08: Rerum quo repellat cumque ipsa illum.', '2022-09-20: Voluptas nostrum quibusdam quos doloremque dolores vitae.', '2022-11-29: Temporibus deserunt perspiciatis necessitatibus ipsam quo quod magnam in.', '2023-02-27: Repellendus reiciendis consequuntur dolorum odit soluta.']"
